expo,exhibitorId,name,externalId,email,phone,website,logo,address,description,country,city,boothIds,boothNames,categoryIds,categoryNames
team26,14263386,ANB Technologies LLC,ANB Technologies LLC,,,,exhibitors/14263386/media/anb-technologies-llc.webp,,"About ANB Technologies LLC
ANB Technologies is a global Atlassian consulting and services firm headquartered in the NY/NJ area, helping organizations simplify, digitalize, and automate enterprise processes. As an Atlassian Gold Solution Partner and ITSM Specialized Partner, we enable teams to work smarter, improve service delivery, and accelerate business outcomes through the Atlassian platform.
Our certified experts bring deep experience across IT Service Management, enterprise agility, and modern ways of working. With strong foundations in ITIL, DevOps, and SAFe™, we help organizations align technology, process, and people, ensuring sustainable improvements that drive efficiency, productivity, and measurable results.
How We Help
Strategic AdvisoryWe partner with you to design tailored strategies that optimize IT, HR, and Agile/DevOps operations, ensuring your Atlassian investments align with your business goals.
Seamless ImplementationsFrom Jira Service Management and Confluence to Jira Align and beyond, we deliver smooth deployments, smart integrations, and customized configurations built for your unique environment.
Managed Support &amp; OptimizationOur ongoing support services keep your Atlassian ecosystem running at peak performance with proactive monitoring, issue resolution, and continuous system optimization.
Atlassian Licensing &amp; Cost OptimizationWe simplify licensing management, from acquisition and renewals to portfolio optimization, helping you maximize ROI and control costs.
Organizational Change Management (OCM)We drive adoption with structured change management, including readiness assessments, targeted training, and stakeholder engagement to ensure lasting success.
Ready to transform your enterprise with a trusted Atlassian partner?Connect with ANB Technologies to unlock the full potential of the Atlassian platform.",,,7483681,345,10701751,Signature
team26,14263387,Appfire,Appfire,,,,exhibitors/14263387/media/appfire.webp,,"At Appfire, we believe work should move forward with purpose. For more than two decades, we have proven that extending and connecting the world's leading platforms unlocks new levels of productivity across DevOps, Software Engineering, and Service Management teams. We build enterprise-grade solutions around real workflows. By enhancing — not replacing — leading platforms, we reduce manual work, improve visibility across teams and processes, and remove the friction that slows execution. Trusted by more than 27,000 organizations worldwide, more than 50% of which are from the Fortune 500, Appfire delivers secure, intelligent, and integrated solutions that meet customers in the platforms they already rely on, including Atlassian. Learn more at www.appfire.com.",,,7483775,104,10701748,Premier
team26,14218819,Ascend to cloud,ascend-to-cloud,,,,,,"At the Atlassian Ascend booth you will, discover programs, tools, and expert guidance to make your move from Data Center to cloud faster and easier. Walk away with a clear next step—whether you’re evaluating, planning, or ready to migrate.",,,7517333,Atlassian Platform,,
team26,14218837,Assets,assets,,,,,,"Keep track of all your important assets in one place. The Assets app lets you define, track, and connect any kind of asset—hardware, software, content, people, contracts, and more. Use it across HR, facilities, legal, and other teams to model the resources and data your business runs on.",,,7395272,Service Collection,,
team26,14255771,Atlassian Cafe,atlassian-cafe,,,,,,,,,7483781,113,,
team26,14169690,Atlassian Cafe,Atlassian Cafe,,,,,,,,,7536375,328,,
team26,14169677,Atlassian Foundation,Foundation,,,,,,Help teams grow from idea to impact at the Atlassian Foundation booth.🌳 Direct Kiva.org micro-loans to social enterprise teams. Plus connect with the Atlassian Foundation team about product discounts and Atlassian's social impact and sustainability efforts.,,,7483756,200,,
team26,14169673,Atlassian Williams F1 Team,AWF1,,,,,,"Propelling Atlassian Williams F1 Team forward
As the Official Title and Technology Partner of Atlassian Williams Racing, Atlassian is helping transform how one of the world’s most iconic teams works.

Discover how Atlassian Williams F1 team is accelerating the flow of work, unlocking knowledge, sharing insights, and moving even faster toward their goals with the power of Atlassian apps and agents. See the official show car, watch real demos, get exclusive swag and more.",,,7483757,117,,
team26,14169672,Atlasstian for Startups,Atlasstian for Startups,,,,,,Visit the Atlassian for Startups booth to meet the team that collaborates with founders every day.&nbsp; Learn more about how Atlassian supports startups at every stage of their growth!,,,7483761,229,,
team26,14218840,Bitbucket,bitbucket,,,,,,"<p>Code and CI/CD, powered by AI and the Atlassian platform. Accelerate delivery from idea to code to production with a seamless connection to Jira and AI that goes beyond code creation.</p>",,,7395271,Software Collection,,
team26,14169692,Braindate,Braindate,,,,,,,,,7483778,101,,
team26,14263389,BrowserStack Inc.,BrowserStack Inc.,,,,exhibitors/14263389/media/browserstack-inc.webp,,"BrowserStack is a comprehensive test platform for web and mobile applications, with AI agents embedded at every stage of the testing lifecycle. It helps developers and QA teams plan, create, execute, and validate tests, so they can deliver high-quality software faster and with greater confidence.
The platform brings together functional and non-functional testing in one place, including automation, low-code testing, visual testing, performance, accessibility, test management, and reporting.
Trusted by over 50,000 teams worldwide, including Amazon, Microsoft, and NVIDIA, BrowserStack runs more than three million tests every day across 21 global data centers, with instant access to over 30,000 real devices and browsers.
Founded in 2011, BrowserStack is a privately held company backed by Accel, Bond, and Insight Partners. Learn more at browserstack.com",,,7483726,319,10701751,Signature
team26,14263390,Caelor,Caelor,,,,exhibitors/14263390/media/caelor.webp,,"Caelor develops award-winning apps built specifically for the Atlassian ecosystem. Our product suite includes Confluence apps such as Optics, which is designed to help teams create engaging, on-brand pages in seconds using expertly designed templates that ensure consistency and clarity.
It also includes Jira apps such as Shoppie for Jira Service Management, which transforms your JSM portal into a fully integrated internal shop, allowing teams to browse, request, and track assets or services with ease.
We help teams get more out of Jira and Confluence by making collaboration easier, content more engaging, and service processes smoother.",,,7483698,331,10701749,Select
team26,14263391,catworkx,catworkx,,,,exhibitors/14263391/media/catworkx.webp,,"catworkx is a 100% Atlassian-dedicated Platinum Solution Partner, recognized as Atlassian Partner of the Year 2024–2025: High Velocity Service Management. We specialize in enterprise-level services across the full Atlassian product suite, with deep expertise in Agile at Scale, IT Service Management (ITSM), and Cloud solutions.
catworkx offers comprehensive support in enterprise integrations, process consulting, platform operations, official Atlassian training, app development, and licensing services.As part of the TIMETOACT GROUP, catworkx integrates Atlassian into complex IT environments, connecting it seamlessly with broader enterprise ecosystems.
With over 360 experts across 11 countries, we deliver solutions that empower organizations to scale, optimize collaboration, and drive digital transformation.",,,7483768,114,10701751,Signature
team26,14263392,Clovity,Clovity,,,,exhibitors/14263392/media/clovity.webp,,"Clovity is a US-based Atlassian Platinum Solution Partner and a trusted leader in helping public sector organizations, federal agencies, and large enterprises modernize mission-critical operations. With a strong focus on government and regulated industries, Clovity enables improved service delivery, governance, compliance, and operational efficiency through secure, scalable, Atlassian-powered solutions.
Clovity delivers AI-powered process transformation through practical, use-case-driven innovation that helps organizations modernize, scale, and optimize complex workflows. By leveraging enterprise-ready emerging technologies, Clovity enhances efficiency, collaboration, transparency, and data-driven decision-making, particularly within highly regulated environments.
With Atlassian at the core of its transformation strategy, Clovity specializes in Enterprise Service Management (ESM), workflow modernization, DevSecOps, and CI/CD optimization. Its comprehensive portfolio spans AI-driven workforce solutions, enterprise workflow management, cloud services, and data analytics, combining deep public sector expertise with advanced technical capabilities to deliver secure, compliant, and future-ready solutions at scale.
A five-time Inc. 5000 honoree (2021–2025) and Great Place to Work® certified, Clovity is recognized by leading industry bodies for innovation and sustained growth. As a minority-owned business with a strong commitment to diversity and inclusion, Clovity continues to drive meaningful, large-scale digital transformation across both public and private sectors.",,,7483727,327,10701751,Signature
team26,14263393,codefortynine,codefortynine,,,,exhibitors/14263393/media/codefortynine.webp,,"As an Atlassian Platinum Marketplace Partner, codefortynine supports over 20,000 customers and 2.5 million users in over 150 countries. Our SOC2 and GDPR compliant apps are valued by organizations for their reliability and scalability, with a strong focus on ITSM.
Recognized as Atlassian Partner of the Year 2022 for ITSM Apps, and named a finalist in 2023 for Enterprise Apps and in 2024–2025 for the Change-Maker award.
We support teams in improving workflows and getting more out of Jira and Confluence.",,,7483694,332,10701751,Signature
team26,14169674,Community,Community,,,,,,"Learn, connect, and grow with the Atlassian Community.",,,7483755,100,,
team26,14218829,Confluence,confluence,,,,,,"<p>Confluence is the front door to your company's knowledge. Collaborate with your teams and AI to find what you need, build on what you know, and turn it into action.</p>",,,7395275,Teamwork Collection,,
team26,14263394,Cprime,Cprime,,,,exhibitors/14263394/media/cprime.webp,,"Cprime helps organizations succeed after Atlassian Cloud migration. 
With over 12 years of Atlassian expertise and hundreds of Cloud migrations delivered, we partner with leaders and teams to turn Cloud into a platform for sustained value. Our approach focuses on how work flows, how decisions move, and how human-enabled AI is embedded into Jira and Confluence in ways people actually adopt, so visibility improves, execution accelerates, and Cloud value continues to grow long after go-live.",,,7483785,223,10701752,Strategic
team26,14263395,Creativas FZCO,Creativas FZCO,,,,exhibitors/14263395/media/creativas-fzco.webp,,"Creativas is an Atlassian Gold Marketplace Partner building intuitive and high-impact apps that elevate the Atlassian experience. From the most installed LMS for Confluence to a growing portfolio of productivity solutions, our vision is to help teams work smarter, collaborate better, and scale faster.",,,7483743,312,10701749,Select
team26,14218838,Customer Service Management,customer-service-management,,,,,,"The Customer Service Management app unites support, product, and engineering on a single platform to deliver exceptional customer service. Working side-by-side, AI and your support teams have access to unmatched context across your tools like similar tickets, relevant stakeholders, and more to deliver faster, personalized support experiences.",,,7395272,Service Collection,,
team26,14169676,Customer Signals and Insights (CSI),Customer Signals and Insights (CSI),,,,,,"Your voice directly shapes Atlassian’s apps and experiences! Put on your detective hat and uncover clues to help us solve some ""cold"" cases.",,,7483675,352,,
team26,14263396,Decadis AG,Decadis AG,,,,exhibitors/14263396/media/decadis-ag.webp,,"As an Atlassian Platinum Marketplace Partner, we build exceptional, enterprise-ready apps designed to enhance your experience with Atlassian products, particularly Jira.
With offices in Koblenz, Germany, and Seville, Spain, along with a dynamic remote team, we've earned the trust of over 14 million users across top global companies. This success stems from our unwavering commitment to innovation and ensuring customer satisfaction. Our passion for expanding within the Atlassian ecosystem keeps us leading the way in the industry.
Security, compliance, and reliability are at the core of everything we do. Our ISO 27001 certification ensures rigorous data protection, continuous process improvement, and risk mitigation, so you can confidently rely on our solutions.
Let's discover how we can elevate your Atlassian experience together!",,,7483734,315,10701749,Select
team26,14263397,Deviniti,Deviniti,,,,exhibitors/14263397/media/deviniti.webp,,"Your Double Platinum Atlassian Powerhouse
With over 21 years of expertise and 15,000+ global customers, Deviniti is a Double Platinum Atlassian Partner (Solution &amp; Marketplace). We bridge the gap between complex infrastructure and seamless collaboration for Cloud and Data Center environments.
Named a finalist for Atlassian Partner of the Year 2024–2025 and a Deloitte Technology Fast 50 ""Impact Stars"" winner - just one of our many industry accolades.
We empower teams by deploying cutting-edge AI tools like Atlassian Rovo and custom automation to turn data into actionable intelligence.
Our 50+ certified Atlassian experts hold specializations in Cloud Migration and ITSM, ensuring secure, scalable, and modern IT operations.From our headquarters in Wrocław to partners in 38 countries, we don't just implement tools; we accelerate your digital evolution across a wide range of industries.",,,7483680,337,10701751,Signature
team26,14218799,Dia,Dia,,,,,,,,,7395275,Teamwork Collection,,
team26,14218841,DX,dx,,,,,,"Developer intelligence for the AI era. DX helps organizations measure developer productivity, accelerate velocity with data, and navigate the shift to AI-augmented engineering.",,,7395271,Software Collection,,
team26,14263398,e-Core,e-Core,,,,exhibitors/14263398/media/e-core.webp,,"e-Core is a global digital consulting partner that accelerates business results by combining human expertise with the power of intelligent agents. We connect strategy, technology, and ways of working to build smarter, scalable, and governable digital environments — from platform modernization to AI-enabled development, service management, and modern operating models.With a collaborative and pragmatic approach, and in close partnership with leading platforms such as Atlassian, AWS, and Google Cloud, we help organizations cut through complexity, increase productivity, and transform how they build, operate, and collaborate to achieve their business goals.",,,7483699,338,10701749,Select
team26,14263399,eazyBI,eazyBI,,,,exhibitors/14263399/media/eazybi.webp,,"eazyBI is the leading reports, charts, and dashboards app for Jira and Confluence Cloud and Data Center. With native Jira and Confluence integrations, eazyBI is Enterprise-ready – powerful, scalable, and secure, adapting to growing reporting needs for organizations of all sizes.",,,7483769,112,10701751,Signature
team26,14263400,Eficode,Eficode,,,,exhibitors/14263400/media/eficode.webp,,"Better made possible
Eficode is the leading provider of DevOps and AI solutions that drive real impact, with offices in Europe, the United Kingdom and the United States. Eficode empowers organizations to create a software development culture that unlocks their potential with the right ways of working, the right tools, and the right skillset.

Eficode provides a full range of services, from expert consulting and Eficode ROOT Managed DevOps platform, to training and license management. Eficode works with leading DevOps and cloud technology partners, including Atlassian, GitHub, GitLab, AWS, and Microsoft.",,,7483736,314,10701751,Signature
team26,14263401,Elevatic,Elevatic,,,,exhibitors/14263401/media/elevatic.webp,,"Elevatic specializes in creating innovative apps that improve the digital workplace experience in communication, digital transformation, and agile work. As an Atlassian Platinum Marketplace Partner, Elevatic focuses on developing apps that solve recurring problems, elevating the performance of Atlassian solutions.",,,7483764,232,10701751,Signature
team26,14263402,Empyra,Empyra,,,,exhibitors/14263402/media/empyra.webp,,"Specialized in ITSM and Cloud Migration, Empyra has over three decades of consulting and implementation expertise as a premier Atlassian Platinum Solution Partner headquartered in the United States. Our extensive track record includes aiding countless clients worldwide in reshaping their business methodologies, amplifying collaboration through Atlassian tools, and spearheading innovative automation solutions. We offer enterprise-level solutions and implementation services spanning the entire suite of Atlassian products. Our specialized focus areas encompass Cloud migration, ITSM, CI/CD, Agile methodologies, and DevOps practices.
Backed by a team of seasoned Atlassian Certified Consultants, we cater to all your Atlassian needs, from license management and cost optimization to Agile transformations, data migration, custom app development, integrations, training, support, and maintenance. Our approach hinges on becoming your strategic delivery partner, prioritizing a deep understanding of your unique business landscape and long-term aspirations before crafting bespoke solutions. We advocate for simplicity, flexibility, and tailor-made approaches throughout the engagement process.
Empyra's alliances with leading technology providers empower us to deliver tangible value, drive customer success, and maximize returns on investment. Our commitment to excellence is underscored by our array of Atlassian-certified apps on the Marketplace, showcasing our proven proficiency. Renowned corporations such as NASA, SAP, Rakuten, Experian, and Morgan Stanley have entrusted us to streamline and elevate their operational frameworks.
Explore how Empyra can unlock the full potential of Atlassian products for your organization by visiting our website at https://empyra.com/.",,,7483697,330,10701749,Select
team26,14263403,Exalate,Exalate,,,,exhibitors/14263403/media/exalate.webp,,"Exalate is a flexible, AI-assisted, script-based integration solution for teams working across complex, multi-system environments.
Teams use Exalate to keep work in sync across Jira, ServiceNow, Azure DevOps, Salesforce, Zendesk, Freshdesk, Freshservice, Asana, GitHub, and more — securely and in real time.
With fine-grained control over what’s shared, when it’s shared, and how it flows, Exalate is a strong fit for cross-company collaboration, ITSM, and development workflows.
Backed by over a decade of integration expertise and trusted by thousands of Jira users, Exalate is one of the most widely adopted integration apps on the Atlassian Marketplace — built for real-world complexity.",,,7483731,318,10701749,Select
team26,14218800,Focus,Focus,,,,,,The strategy and portfolio command center to model your business and set outcome-driven priorities,,,7395270,Strategy Collection,,
team26,14218787,Forge,Forge,,,,,,"Forge helps you get more out of Atlassian Cloud by turning your unique requirements into secure, scalable apps that run right alongside Jira, Confluence, and more. Whether you’re modernizing legacy customizations or delivering new solutions for your teams, Forge gives builders a governed way to launch custom apps without compromising on compliance, performance, or maintainability. Visit the Forge booth to see real examples, talk through your use cases, and leave with a clear path to building your first (or next) high-impact app on the Atlassian platform.",,,7517333,Atlassian Platform,,
team26,14263404,GitProtect by Xopero Software,GitProtect by Xopero Software,,,,exhibitors/14263404/media/gitprotect-by-xopero-software.webp,,"GitProtect by Xopero Software is a powerful automated and manageble backup and Disaster Recovery solution designed for Jira, Bitbucket, and the entire DevOps stack, including GitHub, GitLab, and Azure DevOps. It ensures Jira Admins, DevOps, and Security teams have full control over data accessibility and workflow continuity.
Trusted by Fortune 500 companies, public institutions, and organizations in highly regulated industries, GitProtect helps meet Cloud Shared Responsibility Model requirements, supports compliance with security standards, and equips teams with audit-ready governance, advanced reporting, and industry-leading security features.",,,7483744,313,10701749,Select
team26,14218788,Goals,Goals,,,,,,"Keep everyone moving in the same direction. The Goals app connects your company’s vision to outcomes. With real-time tracking and structured reporting, it’s easy to see what’s working, what’s at risk, and what to do next.",,,7517333,Atlassian Platform,,
team26,14263405,Google Cloud,Google Cloud,,,,exhibitors/14263405/media/google-cloud.webp,,"Google Cloud is the new way to the cloud, providing AI, infrastructure, developer, data, security, and collaboration tools built for today and tomorrow. Google Cloud offers a powerful, optimized AI stack with its own planet-scale infrastructure, custom-built chips, generative AI models and development platform, as well as agents and applications, to help organizations transform. Customers in more than 200 countries and territories turn to Google Cloud as their trusted technology partner.",,,7483787,221,10701748,Premier
team26,14218784,Guard,Guard,,,,,,"Complex and regulated organizations rely on Atlassian Guard to protect their most valuable work, maintain compliance, and move to cloud with confidence. Guard extends the secure Atlassian Cloud Platform with advanced capabilities such as data loss prevention, threat detection and response, and centralized identity and access management. Visit the booth to learn more and see new capabilities in action, including service accounts, data redaction, and incident response automation.",,,7517333,Atlassian Platform,,
team26,14263406,ikuTeam,ikuTeam,,,,exhibitors/14263406/media/ikuteam.webp,,"ikuTeam helps people collaborate without friction inside Jira and Confluence. We build apps that connect cloud storage, enable in-place editing of Word, Excel, and PowerPoint files, and keep files and folders aligned with day-to-day work—so everything stays in context and teams keep moving.
Trusted by more than 12,000 teams and over one million users worldwide, ikuTeam’s apps provide real-time editing for Microsoft Office and PDF files and integrate securely with platforms such as SharePoint, OneDrive, Google Drive, Box, Dropbox, and Egnyte. This enables reliable, automated file and document workflows directly where planning, tracking, and collaboration happen.
As a trusted Atlassian Marketplace vendor, ikuTeam focuses on reliability, security, and real-world usability. Our products support both everyday collaboration and enterprise requirements, helping organizations manage files, folders, and workflows efficiently across Jira and Confluence.",,,7483700,339,10701749,Select
team26,14169678,Impact Makers,Impact Makers,,,,,,"Looking for a chance to share your Atlassian story? Become an Impact Maker! Stop by the Impact Makers booth, meet the Customer Marketing team, and learn more about our advocacy program.",,,7483677,348,,
team26,14263407,Isos Technology,Isos Technology,,,,exhibitors/14263407/media/isos-technology.webp,,"Isos Technology partners with organizations to streamline, optimize, and modernize the way they work. As an Atlassian Platinum Solution Partner, our solutions combine Atlassian technology, industry expertise, and operational best practices to drive impactful business outcomes for clients. Clients trust our experience in service management, cloud upgrades, enterprise strategy and planning, AI adoption, and support services to create lasting value. Founded in 2005, Isos has helped thousands of commercial and public sector clients transform how they work and unlock the full potential of their organization.",,,7483786,220,10701752,Strategic
team26,14218795,Jira,Jira,,,,,,"Jira is where projects practically manage themselves – where teams and AI agents orchestrate work together, from planning projects to tracking progress to delivering outcomes at scale.",,,7395275,Teamwork Collection,,
team26,14218842,Jira Product Discovery,jira-product-discovery,,,,,,"Jira Product Discovery helps product teams prioritize what to build next with confidence, by capturing and connecting ideas in one place, applying flexible prioritization frameworks and AI-powered insights to make better decisions, and publishing clear, shareable roadmaps that keep teams and stakeholders in sync.",,,7395273,Product,,
team26,14218836,Jira Service Management,jira-service-management,,,,,,"Jira Service Management helps businesses modernize IT service and operations management, by unifying asset data into a single source of truth, accelerating incident and change workflows with advanced AIOps, and centralizing Dev and Ops on one platform.",,,7395272,Service Collection,,
team26,14263408,K15t,K15t,,,,exhibitors/14263408/media/k15t.webp,,"K15t helps teams share their knowledge, everywhere it’s needed with users, customers, partners, and employees.
The Scroll Content Tools are a collection of Confluence apps that let you effortlessly manage and publish your team’s content and documentation. Choose from a range of features to meet your user’s needs, from powerful publishing to flexible content management.
Backbone Work Sync synchronizes Jira work items across projects and instances for seamless inter-team collaboration without switching between Jira instances.",,,7483767,231,10701748,Premier
team26,14263409,knowmad mood,knowmad mood,,,,exhibitors/14263409/media/knowmad-mood.webp,,"knowmad mood is a leading multinational in digital transformation, combining talent, technology and business to deliver value to 1,000+ clients since 1994. With 3,000 professionals, €210M audited revenues in 2024 and presence in 10 countries, it develops projects in architecture, software development, system integration and managed services. The Group includes companies such as DEXS, New Verve, Incipy, Interwor, ASERVO, Grupo Antea, Vanture ESS and Buzz.",,,7483689,342,10701749,Select
team26,14263410,"Kolekti, part of The Adaptavist Group",Kolekti,,,,exhibitors/14263410/media/kolekti-part-of-the-adaptavist-group.webp,,"At Kolekti, we help ambitious teams get more from Confluence spaces and pages by making ideas easier to create, clearer to read, and ready to act on.
With Mosaic for Confluence, teams transform cluttered pages and scattered thinking into structured, engaging content that moves work to meaningful outcomes, faster and together.
By curating content, simplifying workflows, and adding visual structure to collaboration, Kolekti helps teams unlock more value from Confluence at scale.
Kolekti is part of The Adaptavist Group, whose global team exceeds 1,000 people, proudly counting more than half of the Fortune 500 among its 22,000+ customers.
The Adaptavist Group is a family of companies with one common goal: to make business work better. We combine the best talent, technology, and processes to make it easier for our customers to excel–today and tomorrow.",,,7483770,110,10701749,Select
team26,14263411,Lansweeper,Lansweeper,,,,exhibitors/14263411/media/lansweeper.webp,,"Lansweeper, the leader in Technology Asset Intelligence, empowers organizations with a single source of truth, delivering comprehensive asset visibility and actionable insights. Its powerful platform helps businesses unlock the full potential of their technology investments, driving smarter strategic decisions, reducing risks, and enhancing operational efficiency.",,,7483737,322,10701751,Signature
team26,14218797,Loom,Loom,,,,,,"Loom is video communication that moves work forward, while turning every meeting into powerful organizational context for humans and AI.",,,7395275,Teamwork Collection,,
team26,14218794,Marketplace,Marketplace,,,,,,"Discover the Atlassian Marketplace at TEAM ’26 - your one-stop shop for apps that extend Jira, Confluence, and more to make Atlassian work your way. At the Marketplace booth, take a brief interactive quiz about your biggest pain points and receive a curated set of solutions and apps to help your teams collaborate more effectively with the tools they use daily.",,,7517333,Atlassian Platform,,
team26,14263414,Modus Create,Modus Create,,,,exhibitors/14263414/media/modus-create.webp,,"Consistently recognized as an award-winning Atlassian partner, Modus Create delivers cloud modernization, AI-powered workflows, and custom engineering that creates strategic solutions beyond standard implementations.",,,7483746,321,10701749,Select
