expo,boothId,boothName,boothLabel,boothNumber,size,type,status,reserveUrl,buyUrl,exhibitorIds,exhibitorNames,categoryIds,categoryNames
team26,7483682,335,,335,,,,,,,,,
team26,7483683,336,,336,,,,,,14263423,Praecipio,,
team26,7483680,337,,337,,,,,,14263397,Deviniti,,
team26,7483699,338,,338,,,,,,14263398,e-Core,,
team26,7483700,339,,339,,,,,,14263406,ikuTeam,,
team26,7483695,340,,340,,,,,,14263429,"Ricksoft, Inc.",,
team26,7483686,341,,341,,,,,,14263424,re:solution,,
team26,7483689,342,,342,,,,,,14263409,knowmad mood,,
team26,7483685,343,,343,,,,,,14263380,55 Degrees AB,,
team26,7483684,344,,344,,,,,,14263417,Nimble Evolution,,
team26,7483681,345,,345,,,,,,14263386,ANB Technologies LLC,,
team26,7483696,346,,346,,,,,,14263438|14263439,TechTime Initiative Group|Tempo.io,,
team26,7483676,347,,347,,,,,,14169679,Research Workshop,,
team26,7483677,348,,348,,,,,,14169678,Impact Makers,,
team26,7483692,350,,350,,,,,,14263444,Xray,,
team26,7483691,351,,351,,,,,,14263442,Trundl,,
team26,7483675,352,,352,,,,,,14169676,Customer Signals and Insights (CSI),,
team26,7483693,353,,353,,,,,,14263445,yasoon GmbH,,
team26,7483690,354,,354,,,,,,14263421,Perforce Gliffy,,
team26,7483674,401,,401,,,,,,14169671,Advisory Services,,
team26,7483678,402,,402,,,,,,,,,
team26,7483679,403,,403,,,,,,,,,
team26,7520190,201 A-C,,201 A-C,,,,,,,,,
team26,7411078,201D,,201D,,,,,,,,,
team26,7411079,202A,,202A,,,,,,,,,
team26,7411081,202B,,202B,,,,,,,,,
team26,7411080,203A,,203A,,,,,,,,,
team26,7411082,203B,,203B,,,,,,,,,
team26,7411083,204A,,204A,,,,,,,,,
team26,7411084,204B,,204B,,,,,,,,,
team26,7411085,204C,,204C,,,,,,,,,
team26,7411087,205A,,205A,,,,,,,,,
team26,7411086,205B,,205B,,,,,,,,,
team26,7520191,207 A-D,,207 A-D,,,,,,,,,
team26,7493247,304A,,304A,,,,,,,,,
team26,7493246,304C,,304C,,,,,,,,,
team26,7493142,Atlassian Briefing Center check-in,,Atlassian Briefing Center check-in,,,,,,,,,
team26,7483796,Atlassian Hub,,Atlassian Hub,,,,,,,,,
team26,7517333,Atlassian Platform,,Atlassian Platform,,,,,,14218783|14218784|14218787|14218788|14218789|14218790|14218794|14218818|14218819|14218824|14218826|14285159,Administration|Guard|Forge|Goals|Teams|Projects|Marketplace|Regulated industries|Ascend to cloud|Analytics and Secoda|Teamwork Graph|Teamwork Graph,,
team26,7337960,Ballroom A,,Ballroom A,,,,,,,,,
team26,7337959,Ballroom B,,Ballroom B,,,,,,,,,
team26,7337958,Ballroom C,,Ballroom C,,,,,,,,,
team26,7337957,Ballroom D,,Ballroom D,,,,,,,,,
team26,7337956,Ballroom E,,Ballroom E,,,,,,,,,
team26,7402877,Bash 5/7 | Arena,,Bash 5/7 | Arena,,,,,,,,,
team26,7339763,California Ballroom A,,California Ballroom A,,,,,,,,,
team26,7339762,California Ballroom B,,California Ballroom B,,,,,,,,,
team26,7339781,California Ballroom C,,California Ballroom C,,,,,,,,,
team26,7517334,California Ballroom D,,California Ballroom D,,,,,,,,,
team26,7395268,Event Check-In,,Event Check-In,,,,,,,,,
team26,7492821,Exhibitor Services,,Exhibitor Services,,,,,,,,,
team26,7395258,First Aid | Arena,,First Aid | Arena,,,,,,,,,
team26,7343500,First Aid | Halls C/D,,First Aid | Halls C/D,,,,,,,,,
team26,7336030,Hotel | Best Western,,Hotel | Best Western,,,,,,,,,
team26,7336028,Hotel | Candy Cane,,Hotel | Candy Cane,,,,,,,,,
team26,7335964,Hotel | Clarion,,Hotel | Clarion,,,,,,,,,
team26,7336026,Hotel | Cortona Inn and Suites,,Hotel | Cortona Inn and Suites,,,,,,,,,
team26,7335979,Hotel | Courtyard,,Hotel | Courtyard,,,,,,,,,
team26,7335973,Hotel | Desert Palms,,Hotel | Desert Palms,,,,,,,,,
team26,7402908,Hotel | DoubleTree by Hilton,,Hotel | DoubleTree by Hilton,,,,,,,,,
team26,7336031,Hotel | Eden Roc Inn & Suites,,Hotel | Eden Roc Inn & Suites,,,,,,,,,
team26,7402905,Hotel | Hilton,,Hotel | Hilton,,,,,,,,,
team26,7402907,Hotel | Hyatt House,,Hotel | Hyatt House,,,,,,,,,
team26,7336027,Hotel | Hyatt Place,,Hotel | Hyatt Place,,,,,,,,,
team26,7336032,Hotel | Indigo,,Hotel | Indigo,,,,,,,,,
team26,7335971,Hotel | Kings,,Hotel | Kings,,,,,,,,,
team26,7335966,Hotel | Lulu,,Hotel | Lulu,,,,,,,,,
team26,7337385,Hotel | Marriott,,Hotel | Marriott,,,,,,,,,
team26,7335967,Hotel | Portofino,,Hotel | Portofino,,,,,,,,,
team26,7335974,Hotel | Residence Inn,,Hotel | Residence Inn,,,,,,,,,
team26,7335965,Hotel | Sheraton,,Hotel | Sheraton,,,,,,,,,
team26,7335968,Hotel | SpringHill Suites,,Hotel | SpringHill Suites,,,,,,,,,
team26,7402906,Hotel | The Westin,,Hotel | The Westin,,,,,,,,,
team26,7335970,Hotel | Wyndham,,Hotel | Wyndham,,,,,,,,,
team26,7349504,Lanai Deck,,Lanai Deck,,,,,,,,,
team26,7353348,Main Entrance,,Main Entrance,,,,,,,,,
team26,7533062,Main Stage,,Main Stage,,,,,,,,,
team26,7339760,Pacific Ballroom A,,Pacific Ballroom A,,,,,,,,,
team26,7339761,Pacific Ballroom B,,Pacific Ballroom B,,,,,,,,,
team26,7493143,Pacific Ballroom CD,,Pacific Ballroom CD,,,,,,,,,
team26,7402630,Parking 1 | ACC North,,Parking 1 | ACC North,,,,,,,,,
team26,7402629,Parking 2 | Hilton,,Parking 2 | Hilton,,,,,,,,,
team26,7402624,Parking 3 | Marriott,,Parking 3 | Marriott,,,,,,,,,
team26,7402626,Parking 4 | ACC,,Parking 4 | ACC,,,,,,,,,
team26,7402625,Parking 5 | ACC,,Parking 5 | ACC,,,,,,,,,
team26,7402904,Parking 6 | ACC,,Parking 6 | ACC,,,,,,,,,
team26,7402628,Parking 7 | ACC,,Parking 7 | ACC,,,,,,,,,
team26,7402631,Parking | GardenWalk,,Parking | GardenWalk,,,,,,,,,
team26,7402622,Parking | Sheraton,,Parking | Sheraton,,,,,,,,,
team26,7402623,Parking | Toy Story Lot,,Parking | Toy Story Lot,,,,,,,,,
team26,7395273,Product,,Product,,,,,,14218842,Jira Product Discovery,,
team26,7395276,Rovo,,Rovo,,,,,,14218782,Rovo,,
team26,7395269,Rovo Theater,,Rovo Theater,,,,,,,,,
team26,7395272,Service Collection,,Service Collection,,,,,,14218836|14218837|14218838,Jira Service Management|Assets|Customer Service Management,,
team26,7395271,Software Collection,,Software Collection,,,,,,14218839|14218840|14218841,Rovo Dev|Bitbucket|DX,,
team26,7395270,Strategy Collection,,Strategy Collection,,,,,,14218800|14218801|14218802,Focus|Talent|Align,,
team26,7349503,Sunset Deck,,Sunset Deck,,,,,,,,,
team26,7399593,Support Bar,,Support Bar,,,,,,,,,
team26,7395275,Teamwork Collection,,Teamwork Collection,,,,,,14218795|14218797|14218798|14218799|14218829,Jira|Loom|Trello|Dia|Confluence,,
team26,7395284,Toilets F | Ballroom A,,Toilets F | Ballroom A,,,,,,,,,
team26,7395282,Toilets F | Ballroom E,,Toilets F | Ballroom E,,,,,,,,,
team26,7395288,Toilets F | California Promenade,,Toilets F | California Promenade,,,,,,,,,
team26,7395262,Toilets F | Hall B Lobby,,Toilets F | Hall B Lobby,,,,,,,,,
team26,7395260,Toilets F | Hall C Lobby,,Toilets F | Hall C Lobby,,,,,,,,,
team26,7395264,Toilets F | Hall D,,Toilets F | Hall D,,,,,,,,,
team26,7395266,Toilets F | Halls A/B,,Toilets F | Halls A/B,,,,,,,,,
team26,7402903,Toilets F | Halls A/B East,,Toilets F | Halls A/B East,,,,,,,,,
team26,7395265,Toilets F | Halls A/B West,,Toilets F | Halls A/B West,,,,,,,,,
team26,7402902,Toilets F | Halls B/C,,Toilets F | Halls B/C,,,,,,,,,
team26,7395251,Toilets F | Halls B/C East,,Toilets F | Halls B/C East,,,,,,,,,
team26,7402901,Toilets F | Halls B/C West,,Toilets F | Halls B/C West,,,,,,,,,
team26,7395287,Toilets F | Pacific Promenade,,Toilets F | Pacific Promenade,,,,,,,,,
team26,7395285,Toilets M | Ballroom A,,Toilets M | Ballroom A,,,,,,,,,
team26,7395283,Toilets M | Ballroom E,,Toilets M | Ballroom E,,,,,,,,,
team26,7395289,Toilets M | California Promenade,,Toilets M | California Promenade,,,,,,,,,
team26,7395263,Toilets M | Hall B Lobby,,Toilets M | Hall B Lobby,,,,,,,,,
team26,7395261,Toilets M | Hall C Lobby,,Toilets M | Hall C Lobby,,,,,,,,,
team26,7395257,Toilets M | Halls A/B East,,Toilets M | Halls A/B East,,,,,,,,,
team26,7395267,Toilets M | Halls A/B West,,Toilets M | Halls A/B West,,,,,,,,,
team26,7395256,Toilets M | Halls B/C East,,Toilets M | Halls B/C East,,,,,,,,,
team26,7395255,Toilets M | Halls B/C West,,Toilets M | Halls B/C West,,,,,,,,,
team26,7395286,Toilets M | Pacific Promenade,,Toilets M | Pacific Promenade,,,,,,,,,
team26,7343053,Toilets | Hall D,,Toilets | Hall D,,,,,,,,,
team26,7395259,Toilets | Halls C/D East,,Toilets | Halls C/D East,,,,,,,,,
team26,7370649,Toilets | Halls C/D West,,Toilets | Halls C/D West,,,,,,,,,
team26,7395279,Toilets | Meeting Room 201,,Toilets | Meeting Room 201,,,,,,,,,
team26,7402900,Toilets | Meeting Rooms 202-204,,Toilets | Meeting Rooms 202-204,,,,,,,,,
team26,7395277,Toilets | Meeting Rooms 206-207,,Toilets | Meeting Rooms 206-207,,,,,,,,,
team26,7395280,Toilets | Meeting Rooms 209-210,,Toilets | Meeting Rooms 209-210,,,,,,,,,
team26,7402899,Toilets | Meeting Rooms 211-213,,Toilets | Meeting Rooms 211-213,,,,,,,,,
